"ID,Entidad,REGION,MANZANA,# de lote,m2,metros de frente x m fondo,precio x m2,TOTAL,UBICACI?N,Coordenadas Decimales"
"1,Tulum,Region 15,mz 189,""lotes 12, 05, 20"",301m2,14.28m x 21.23,250 usd x m2,""75,250 usd"",https://maps.app.goo.gl/fv3DSVdKMFWqQsg2A?g_st=com.google.maps.preview.copy,""20.1875765,-87.4662261"""
"2,Tulum,Region 15,mz 189,lote 23,628m2,esquina 22.14m x 28.47m,250 usd x m2,""157,000 usd"",https://maps.app.goo.gl/j8BMwBpYnC2qTbVn6?g_st=com.google.maps.preview.copy,""20.1873625,-87.4665912"""
"3,Tulum,Region 15,mz 150,""lotes 08, 11"",325m2,16.48m x 19.74m,250 usd x m2,""83,000 usd"",https://maps.app.goo.gl/gyvonV7u7VCrLa216?g_st=com.google.maps.preview.copy,""20.1908655,-87.4651629"""
"4,Tulum,Region 15,mz 159,""lotes 02, 03, 08, 09"",584.835m2,20m x 29.46m,245 usd x m2,""143,284 usd"",https://maps.app.goo.gl/T7LoJe8gFb8VixBm9?g_st=com.google.maps.preview.copy,""20.1887572,-87.4693113"""
"5,Tulum,Region 15,mz 159,""lotes 05,06,11,12"",981.774m2,20m x 49.46m,245 usd x m2,""240,534 usd"",https://maps.app.goo.gl/T7LoJe8gFb8VixBm9?g_st=com.google.maps.preview.copy,""20.1887572,-87.4693113"""
"6,Tulum,Region 15,mz 159,""lotes 01, 04, 07, 10"",861.381m2,esquinas 29.46m x 29.46m,260 usd x m2,""223,959 usd"",https://maps.app.goo.gl/T7LoJe8gFb8VixBm9?g_st=com.google.maps.preview.copy,""20.1887572,-87.4693113"""
"7,Tulum,Region 15,mz 166,""lotes 01 06, 07, 12"",945.77m2,esquinas 19.37m x 49.50m,250 usd x m2,""236,442 usd"",https://maps.app.goo.gl/41qqUGaeQYsqeAzb9?g_st=com.google.maps.preview.copy,""20.1866511,-87.4765637"""
"8,Tulum,Region 15,mz 166,""lotes 02, 04, 05, 08, 09, 10, 11"",736.97m2,15m x 49.50m,235 usd x m2,""173,187 usd"",https://maps.app.goo.gl/41qqUGaeQYsqeAzb9?g_st=com.google.maps.preview.copy,""20.1866511,-87.4765637"""
"9,Tulum,Region 15,mz 67,unico,""10,000m2"",100m x 100m,250 usd x m2,""2,500,000 usd"",https://maps.app.goo.gl/ntRGyBWo5yAR2D1m8?g_st=com.google.maps.preview.copy,""20.1958697,-87.4669228"""
"10,Tulum,Region 15,mz 146,unico,""10,000m2"",100m x 100m,210 usd x m2,""2,100,000 usd"",https://maps.app.goo.gl/JWsvm9tJ5V6R3FV38?g_st=com.google.maps.preview.copy,""20.189699,-87.4697083"""
"11,Tulum,Region 8,Mz 701,lote 01,""2,175m2"",esquina irregular,120 usd x m2,""261,000 usd"",https://maps.app.goo.gl/5eFW9Q1KGQVY46UMA?g_st=com.google.maps.preview.copy,""20.1712057,-87.4587444"""
"12,Tulum,Region 8,,lote 02,""2,500m2"",esquina 50m x 50m,120 usd x m2,""300,000 usd"",https://maps.app.goo.gl/5eFW9Q1KGQVY46UMA?g_st=com.google.maps.preview.copy,""20.1712057,-87.4587444"""
"13,Tulum,Region 8,mz 559,lote 04,""2,500m2"",esquina 50m x 50m,420usd x m2,""1,050,000 usd"",https://maps.app.goo.gl/zCmttVMT2yqDQ5qW6?g_st=com.google.maps.preview.copy,""20.1803003,-87.4583059"""
"14,Tulum,Region 8,mz 615,lote 02,""1,070m2"",25m x 43.12m,150 usd x m2,""160,500 usd"",https://maps.app.goo.gl/11j618Z5jQJfoyYh6?g_st=com.google.maps.preview.copy,""20.17453,-87.4681717"""
"15,Tulum,Region 8,mz 588,lote 02,""1,250m2"",25m x 50m,130 usd x m2,""162,500 usd"",https://maps.app.goo.gl/Mh6ee18xFVBNpvwd8?g_st=com.google.maps.preview.copy,""20.1737395,-87.4725038"""
"16,Tulum,Region 12,mz 941,lote 6,""10,340m2"",78.57m x 131.50m,40 usd x m2,""413,600 usd"",https://maps.app.goo.gl/m84ghb1eZSS99LEY9?g_st=com.google.maps.preview.copy,""20.1863021,-87.4892234"""
"17,Tulum,Region 12,mz 910,lote 2,""10,340m2"",78.57m x 131.50m,65 usd x m2,""672,100 usd"",https://maps.app.goo.gl/DnUGXTXDrV5KdoRC9?g_st=com.google.maps.preview.copy,""20.1959977,-87.4941975"""
"18,Tulum,Region 12,mz 932,lote 05,""10,340m2"",esquina 78.57m x 131.50m,80 usd x m2,""827,200 usd"",https://maps.app.goo.gl/VyPtckczCPXLLqgbA?g_st=com.google.maps.preview.copy,""20.1899892,-87.4959634"""
"19,Tulum,Region 12,mz 932,lote 04,""10,340m2"",78.57m x 131.50m,65 usd x m2,""672,100 usd"",https://maps.app.goo.gl/eTRJWdfWyL5hdwDQ9?g_st=com.google.maps.preview.copy,""20.1899753,-87.4966232"""
"20,Tulum,Region 12,mz 932,lote 003-2,""1,717m2"",26.19m x 65.56m,88 usd x m2,""151,000usd"",https://maps.app.goo.gl/Ciy3hZyeK9omdkyb7?g_st=com.google.maps.preview.copy,""20.1892868,-87.4976998"""
"21,Tulum,Region 11,mz 880,lote 06,""2,350m2"",""carretera 21m x 112,5"",220 usd x m2,""517,000 usd"",https://maps.app.goo.gl/VF1QWcdUft4DQSAm6?g_st=com.google.maps.preview.copy,""20.1994231,-87.5009061"""
"22,Tulum,Region 11,mz 880,lote 01,""10,419m2"",carretera 25.60m x 407m,150 usd x m2,""1,562,850 usd"",https://maps.app.goo.gl/41sFE17ChCeHjTrH6?g_st=com.google.maps.preview.copy,""20.1993473,-87.500429"""
"23,Tulum,Region 11,mz 850,lotes 25 y 26,472.86m2 juntos,irregular,180 usd x m2,""85,114 usd"",https://maps.app.goo.gl/rri3Zwws2DHp6Zoo6?g_st=com.google.maps.preview.copy,""20.2201374,-87.4869988"""
"24,Tulum,Region 11,mz 846,""lotes 13, 14"",5000m2,50m x 100m,90 usd x m2,""450,000 usd"",https://maps.app.goo.gl/5dXH9ovKCgtYoYj68,""20.215416, -87.492842"""
"25,Tulum,Region 11,mz 787,lote 27,""10,000 m2"",100m x 100m,40 usd x m2,""400,000 usd"",https://maps.app.goo.gl/2zGoG69FfhcUBtzY8,""20.243286, -87.492219"""
"26,Tulum,Region 11,Mz 974,""Lote 6, 7, 15, 16"",""300, 350, 430 y 550m2"",""10x30, 10x35, 15x30(I) y 22x30(I)"",Desde 92usd xm2,""780,000 pesos con financiamiento 525,000 contado"",https://maps.app.goo.gl/xEbJoENPpCwb6USM7,""20.211380, -87.515410"""
"27,Tulum,Region 11,mz 974,Lote 001,""9,033m2"",irregular 95m x 109m,30 usd xm2,""265,000 usd"",https://maps.app.goo.gl/KksC2VrDnnxSDRfN7,""20.212357, -87.515775"""
"28,Tulum,Centro,mz 129,lote 02,""1,584.98m2"",esquina 31.7m x 50m,550 usd x m2,""871,793 usd"",https://maps.app.goo.gl/VGpBpbidL25vEJ479,""20.204208, -87.450665"""
"29,Tulum,Laguna Union,,Parcela 77,30 hectareas,580m x 520m,11.66 usd x m2,""3,500,000 usd"",https://maps.app.goo.gl/CKTWEX7HJy4nYNtS6,""20.217736, -87.525844"""
"30,Tulum/Carretera,Carretera <kaan Lum>,,Parcela 176,""46,000m2"",Carretera 116m x 400m,40 usd x m2,""1,840,000 usd"",https://maps.app.goo.gl/8he6ty2D2SDT2JN46,""19.976389, -87.467872"""
"31,Tulum/Carretera,Carretera Bocapaila,km 28,urgente,""11,000 m2"",Frente Playa 50m x 220m frente Laguna,60 usd x m2,""660,000 usd"",https://maps.app.goo.gl/8he6ty2D2SDT2JN46,""19.976389, -87.467872"""
"32,Tulum/Carretera,Carretera Bocapaila,km 5.5,,""12,114 m2"",Frente Playa 100m x 121m frente Laguna,200 usd x m2,""2,422,800 usd"",,"
"33,Ciudad Muyil,Muyil,,Varios Lotes,1000m2,20m x 50m,Desde 29 usd x m2,""Desde 29,000 usd"",https://maps.app.goo.gl/8o4AoaQpSdCSkJes6,""20.104158, -87.626358"""
"34,Ciudad Muyil,Parcelas 5 Hectareas,,,""50,000m2"",100m x 500m,Desde 4 usd x m2,""Desde 200,000 usd"",https://maps.app.goo.gl/ANoVibza5gcBuM716,""19.929679, -87.794541"""
"35,Francisco Uh May,Tumbenlum,,Varios lotes,""1,253m2"",20m x 62.7m,40 usd x m2,""50,120 usd"",,"
"36,Francisco Uh May,tumbenlum,,Varios lotes,""1,478m2"",irregular glorieta 25m x 62.7m,40 usd x m2,""59,120 usd"",https://maps.app.goo.gl/qoabqDKadtrYS6NT9,""20.345759, -87.608867"""
"37,Francisco Uh May,Rancho con cenote,,unico,""80,000m2"",irregular,3.4 usd x m2,""275,000 usd"",https://maps.app.goo.gl/HY8o3ZQD44egYD1T8,""20.343839, -87.637712"""
"38,Francisco Uh May,3 Lotes unicos titulados,,,""8,784.66 m2 cada uno"",,,,,"
",,,,urgente,""26,353.98 m2 totales"",,3 usd x m2,""79,000 usd"",https://maps.app.goo.gl/sbc1reMFy3RMmLwc6,""20.329704, -87.640787"""
